Artist Name and Link to Know My Name Exhibition Page,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,In DAAO Selected Biographical Dataset,Link to AWR,Link to NLA,Multiple NLA,Missing NLA,,,
"Temin, Kathy",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1968,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/kathy-temin-1/,N,,https://trove.nla.gov.au/people/516625,N,N,,,
Thanakupi (Thancoupie),Individual,,Weipa,Cape York,QLD,Australia,-10.6871474,142.5315554,1937,,Weipa,Cape York,QLD,Australia,-10.6871474,142.5315554,2011,,https://www.daao.org.au/bio/thanakupi/,Y,https://www.womenaustralia.info/biogs/AWE1200b.htm,"https://trove.nla.gov.au/people/467668
https://trove.nla.gov.au/people/1488803",Y,N,,,
The Hampson Family,Collective,,Lukrakuyila,"Fernbank Farm, Westbury",TAS,Australia,-19.302825,146.816104,1901,,Lukrakuyila,"Fernbank Farm, Westbury",TAS,Australia,-19.302825,146.816104,1903,,https://www.daao.org.au/bio/group/jane-and-mary-hampson-1/,[Group] Y,,"https://trove.nla.gov.au/people/1774110
https://trove.nla.gov.au/people/1489692",Y,N,,,
The Lip Collective,Collective,,Wurundjeri Land,Carlton,VIC,Australia,-37.8004228,144.9684343,1976,,Wurundjeri Land,Carlton,VIC,Australia,-37.8004228,144.9684343,1984,,[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Timbery, Esme",Individual,Bidjigal People,Djembla,Port Kembla,NSW,Australia,-34.4703383,150.8953674,1931,14/2/1931,,,NSW,Australia,,,2023,6/10/2023,https://www.daao.org.au/bio/esme-timbery/,Y,,https://trove.nla.gov.au/people/1483861,N,N,,,
Tjanpi Desert Weavers,Collective,,Tjanpi Desert,Tjanpi Desert,NT,Australia,-23.700671,133.870816,1995,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/tjanpi-desert-weavers/,[Group] Y,,https://trove.nla.gov.au/people/1502573,N,N,,,
"Tjulyata, Topsy",Individual,Pitjantjatjara People,Mutitjulu,"Mutitjulu, Uluru",NT,Australia,-25.350695,131.06736,1931,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/topsy-tjulyata/,N,,https://trove.nla.gov.au/people/1879680,N,N,,,
"Tomescu, Aida",Individual,,N/A,Bucharest,,Romania,44.4361414,26.1027202,1955,3/10/1955,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/aida-tomescu/,Y,,https://trove.nla.gov.au/people/1485590,N,N,,,
"Traill, Jessie",Individual,,Boonwurrung Land,Brighton,VIC,Australia,-37.9081962,144.9957991,1881,29/07/1881,Corhanwarrabul,Emerald,VIC,Australia,-37.9321414,145.4407189,1967,15/5/1967,https://www.daao.org.au/bio/jessie-traill/,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE6397b.htm,https://trove.nla.gov.au/people/563644,N,N,,,
"Tribe, Barbara",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1913,20/6/1913,N/A,"Paul, Cornwall",England,United Kingdom,50.0896133,-5.5464147,2000,21/10/2000,https://www.daao.org.au/bio/rhonda-tribe/,Y,,https://trove.nla.gov.au/people/1485457,N,N,,,
"Tubbs, Marian",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1983,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1670514,N,N,,,
"Tunkin, Maringka",Individual,Pitjantjatjara People,Amata ,Amata ,NT,Australia,-26.151528,131.1472833,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative/,[Group] N,,https://trove.nla.gov.au/people/1869107,N,N,,,
"Turner, Mazie Karen",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1954,1/11/1954,Mulunbinba,Newcastle,NSW,Australia,-32.9272881,151.7812534,2014,7/6/2014,https://www.daao.org.au/bio/karen-turner/,N,,[Not in NLA],N,Y,,,
"Vongpoothorn, Savanhdary",Individual,,,Champasak,,Laos,14.8872885,105.8765804,1971,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/savanhdary-vongpoothorn/,Y,,https://trove.nla.gov.au/people/1440197,N,N,,,
"Walker, Lyndal",Individual,,,,,,,,1973,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/biography/hotham-street-ladies/,[Group] Y,,https://trove.nla.gov.au/people/522964,N,N,,,
"Wallace, Anne",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1970,31/8/1970,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-wallace/,N,,"https://trove.nla.gov.au/people/542210
https://trove.nla.gov.au/people/1482252",Y,N,,,
"Waller, Christian",Individual,,Dja Dja Wurrung Land,Castlemaine,VIC,Australia,-37.0664778,144.2200032,1894,02/08/1894,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1954,25/5/1954,https://www.daao.org.au/bio/christian-waller/,[Born pre-1900] Y,,"https://trove.nla.gov.au/people/475455
https://trove.nla.gov.au/people/1468981",Y,N,,,
"Warrngilna Ganambarr, Mavis",Individual,Datiwuy People,Galiwin'ku,Elcho Island,NT,Australia,-11.9136184,135.802244,1966,,,,,,,,2023,,https://www.daao.org.au/bio/mavis-warrngilna-ganambarr/,N,,https://trove.nla.gov.au/people/1879474,N,N,,,
"Watson, Jenny",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1951,2/10/1951,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jenny-watson-1/,N,,https://trove.nla.gov.au/people/461154,N,N,,,
"Watson, Judy",Individual,Waanyi People,Mundubbera,Mundubbera,QLD,Australia,-25.5909717,151.2994332,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/judy-watson-1/,Y,,https://trove.nla.gov.au/people/1486218,N,N,,,
"Webb, Mary",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1917,,N/A,Paris,,France,48.8588897,2.3200410217200766,1958,1/12/1958,https://www.daao.org.au/bio/mary-webb/,Y,,https://trove.nla.gov.au/people/1486434,N,N,,,
"West, Caroline Mary",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1872,14/6/1972,,,,,,,1947,19/3/1947,[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"West, Margaret",Individual,,,,,,,,1936,31/8/1936,Dharug/Gundungurra/Wiradjuri Land,Blackheath,NSW,Australia,-33.6338889,150.2847222,2014,2/11/2014,https://www.daao.org.au/bio/margaret-west/,N,,https://trove.nla.gov.au/people/1519110,N,N,,,
"Whiting, Ada",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.3258481,1859,,Boonwurrung Land,Brighton,VIC,Australia,-37.9081962,144.9957991,1953,,https://www.daao.org.au/bio/ada-whiting/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/1484468,N,N,,,
"Whiting, Lorri",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1927,,N/A,Orbetello,,Italy,42.4380944,11.2107429,2019,,https://www.daao.org.au/bio/lorri-whiting/,N,,https://trove.nla.gov.au/people/1471763,N,N,,,
"Williams, Justene",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1970,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/justene-williams/,Y,,https://trove.nla.gov.au/people/1483994,N,N,,,
Women's Domestic Needlework Group,Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1976,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/womens-domestic-needlework-group/,[Group] N,,https://trove.nla.gov.au/people/1537923,N,N,,,
"Woodman, Francesca",Individual,,ȟeská otȟúŋwahe,Denver,CO,USA,39.7392364,-104.984862,1958,3/4/1958,Lenape Land,New York City,NY,USA,40.7127281,-74.0060152,1981,19/1/1981,[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/864423,N,N,,,
"Worth, Margaret",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1944,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/margaret-worth/,Y,,https://trove.nla.gov.au/people/1472191,N,N,,,
"Wright, Judith",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1945,4/7/1945,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/judith-wright-1/biography/,N,,"https://trove.nla.gov.au/people/500599
https://trove.nla.gov.au/people/1528425",N,N,,,
"Yarinkura, Lena",Individual,Rembarrnga/Kune People,Maningrida,Maningrida,NT,Australia,-12.0524203,134.2267293,1960,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lena-yarinkura/,N,,"https://trove.nla.gov.au/people/1690251
https://trove.nla.gov.au/people/1517645",Y,N,,,
"Young, Tingila Yaritji",Individual,Pinjantjatjara People,Pujatka,Ernabella,NT,Australia,-19.488357,133.438712,1956,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative/,[Group] N,,[Not in NLA],N,Y,,,
"Yunupiŋgu, Nyapanyapa",Individual,,Yirrkala,Yirrkala,NT,Australia,-12.2539194,136.8899744,1945,,Yirrkala,Yirrkala,NT,Australia,-12.2539194,136.8899744,2021,20/10/2021,https://www.daao.org.au/bio/nyapanyapa-yunupingu/,N,,https://trove.nla.gov.au/people/1520680,N,N,,,
"Zahalka, Anne",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1957,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-zahalka/,N,,https://trove.nla.gov.au/people/1307952,N,N,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
